Membership No  Date Joined  Active  
    97329      2019-6-10    no    
    31250      2020-9-24    no    
    50871      2019-1-19    no    
    94123      2016-12-11   no    
    20112      2017-2-22    no    
    15228      2016-4-15    no    
    17825      2020-10-23   no    
    47179      2016-10-12   no    
    89621      2015-9-24    no    
    66690      2018-1-18    no    
    15185      2020-9-25    no    
    85801      2015-3-9     no    
    50725      2018-7-10    no    
    69236      2016-2-6     no    
    96462      2018-11-21   no    
    65326      2017-7-4     no    
    81806      2020-4-2     no    
